Statistiche Fantacalcio Stagione 2021 22  Italia;;;;;;;;;;;;;;;;
Id;R;Nome;Squadra;Pv;Mv;Mf;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
252;D;Biraghi;Fiorentina;37;5,95;6,09;4;0;0;2;1;1;1;3;1;1
254;D;Dimarco;Inter;25;6,2;6,42;2;0;0;1;0;1;3;1;0;0
2181;D;Palomino;Atalanta;33;6,14;6,09;1;0;0;0;0;0;0;9;0;0
2263;D;Lazzari;Lazio;28;5,95;6,32;3;0;0;0;0;0;3;3;0;0
2525;D;Darmian;Inter;23;6,15;6,37;2;0;0;0;0;0;1;4;0;0
2180;D;Karsdorp;Roma;35;6,04;5,97;0;0;0;0;0;0;2;7;1;0
4412;D;Rodrigo Becao;Udinese;35;6,06;6,11;2;0;0;0;0;0;1;10;0;0
4994;D;Vojvoda;Torino;29;6;6,05;0;0;0;0;0;0;3;3;0;0
5300;D;Hickey;Bologna;36;5,94;6,29;5;0;0;0;0;0;1;7;0;0
5675;D;Theate;Bologna;30;5,97;6,1;2;0;0;0;0;0;1;6;0;0
118;D;Radovanovic;Salernitana;14;5,79;5,86;1;0;0;0;0;0;0;4;0;0
358;D;De Sciglio;Juventus;17;6,09;6,26;1;0;0;0;0;0;2;2;1;0
464;D;Florenzi;Milan;20;6,1;6,38;2;0;0;0;0;0;0;2;0;0
4237;D;Danilo;Juventus;21;6,12;6,21;1;0;0;0;0;0;2;6;0;0
4331;D;Ibanez;Roma;32;5,92;6,08;3;0;0;0;0;0;0;9;0;0
4422;D;Tomiyasu;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
4982;D;Erlic;Spezia;30;5,93;6,05;2;0;0;0;0;0;0;5;0;0
5526;D;Scalvini;Atalanta;13;6,08;6,27;1;0;0;0;0;0;0;1;0;0
706;D;Ansaldi;Torino;15;6,1;6,23;0;0;0;0;0;0;3;2;0;0
2006;D;Lirola;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2280;D;Nuytinck;Udinese;26;6,08;6,19;1;0;0;0;0;0;1;2;0;0
4332;D;Demiral;Atalanta;25;6,08;6,12;1;0;0;0;0;0;2;8;0;0
4421;D;Augello;Sampdoria;34;5,79;5,91;1;0;0;0;0;0;1;0;0;0
5479;D;Ceccaroni;Venezia;35;5,9;5,97;2;0;0;0;0;0;1;7;1;0
5514;D;Vasquez;Genoa;28;5,82;5,8;1;0;0;0;0;0;0;7;0;0
5520;D;Cambiaso;Genoa;25;5,94;6,12;1;0;0;0;0;0;4;3;1;0
288;D;Chiellini;Juventus;19;6,21;6,16;0;0;0;0;0;0;0;2;0;0
322;D;De Vrij;Inter;28;5,84;5,71;0;0;0;0;0;0;0;3;0;1
1847;D;Caldara;Venezia;30;5,92;5,87;1;0;0;0;0;0;0;9;0;0
1891;D;Ceccherini;Verona;34;5,9;5,81;1;0;0;0;0;0;0;10;1;0
2016;D;Fazio;Salernitana;16;5,81;5,91;1;0;0;0;0;0;0;1;1;0
2164;D;Milenkovic;Fiorentina;34;5,88;5,82;1;0;0;0;0;0;0;8;1;0
2169;D;Rodriguez R.;Torino;32;6,03;6,02;0;0;0;0;0;0;1;3;0;0
2296;D;Mancini;Roma;33;5,82;5,58;0;0;0;0;0;0;0;14;1;0
2309;D;Pezzella Ger.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2784;D;Colley;Sampdoria;31;5,92;5,81;0;0;0;0;0;0;0;5;1;0
4530;D;Kyriakopoulos;Sassuolo;25;5,9;5,94;0;0;0;0;0;0;5;6;1;0
4887;D;Bellanova;Cagliari;31;5,94;6,02;1;0;0;0;0;0;1;3;0;0
4934;D;Lovato;Cagliari;21;5,93;5,81;0;0;0;0;0;0;0;5;0;0
5447;D;Altare;Cagliari;18;6,03;6,06;1;0;0;0;0;0;0;5;0;0
5449;D;Parisi;Empoli;23;5,91;5,85;0;0;0;0;0;0;1;5;0;0
5481;D;Mazzocchi;Salernitana;32;5,86;5,84;0;0;0;0;0;0;2;5;0;0
5695;D;Haps;Venezia;25;5,84;5,88;1;0;0;0;0;0;1;6;0;0
45;D;Ferrari A.;Sampdoria;22;5,68;5,73;1;0;0;0;0;0;0;4;0;0
76;D;Romagnoli S.;Empoli;18;5,86;6;2;0;0;0;0;0;0;3;0;1
695;D;Toloi;Atalanta;19;6,05;6,11;1;0;0;0;0;0;1;6;0;0
787;D;Djimsiti;Atalanta;29;5,83;5,81;1;0;0;0;0;0;1;6;0;1
790;D;Samir;Udinese;17;6,09;5,94;0;0;0;0;0;0;0;5;0;0
1852;D;Spinazzola;Roma;2;6,25;6;0;0;0;0;0;0;0;1;0;0
1866;D;Ceppitelli;Cagliari;21;5,83;5,93;1;0;0;0;0;0;0;3;0;0
1895;D;Ferrari G.;Sassuolo;36;5,79;5,79;1;0;0;0;0;0;0;4;1;0
2130;D;Hateboer;Atalanta;21;5,64;5,6;0;0;0;0;0;0;0;2;0;0
2141;D;Depaoli;Verona;17;5,76;5,88;1;0;0;0;0;0;1;4;0;0
2171;D;Lyanco;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
2614;D;Odriozola;Fiorentina;25;5,88;5,96;1;0;0;0;0;0;2;4;1;0
2633;D;Kjaer;Milan;10;6,2;5,9;0;0;0;0;0;0;0;2;0;1
4407;D;Igor;Fiorentina;28;5,82;5,77;0;0;0;0;0;0;0;3;0;0
4433;D;Zortea;Salernitana;23;5,74;5,91;1;0;0;0;0;0;2;3;0;0
4983;D;Ferrer;Spezia;23;5,78;5,85;0;0;0;0;0;0;3;3;0;0
5450;D;Stojanovic;Empoli;33;5,91;5,86;1;0;0;0;0;0;1;9;1;0
5498;D;Casale;Verona;34;6;5,9;0;0;0;0;0;0;1;10;0;0
5686;D;Soppy;Udinese;18;5,86;5,75;0;0;0;0;0;0;0;4;0;0
5748;D;Hefti;Genoa;16;5,84;5,81;0;0;0;0;0;0;0;1;0;0
11;D;Conti;Sampdoria;4;5,88;6,5;1;0;0;0;0;0;0;1;0;0
256;D;Juan Jesus;Napoli;14;6,14;6,18;1;0;0;0;0;0;0;1;0;1
287;D;Caceres;Cagliari;13;5,62;5,73;1;0;0;0;0;0;1;3;1;0
327;D;Patric;Lazio;22;5,75;5,7;1;0;0;0;0;0;1;4;1;1
2188;D;Marusic;Lazio;33;5,68;5,68;1;0;0;0;0;0;0;4;1;0
2285;D;Bani;Genoa;17;5,91;5,88;0;0;0;0;0;0;0;1;0;0
2653;D;Lykogiannis;Cagliari;25;5,7;5,78;1;0;0;0;0;0;0;2;0;0
2728;D;Pellegrini Lu.;Juventus;17;5,97;5,85;0;0;0;0;0;0;1;6;0;0
2739;D;Reca;Spezia;24;5,67;5,69;0;0;0;0;0;0;2;3;0;0
2746;D;Dijks;Bologna;11;5,82;5,91;0;0;0;0;0;0;2;2;0;0
2865;D;Aina;Torino;20;5,82;5,72;0;0;0;0;0;0;0;4;0;0
4185;D;Maitland-Niles;Roma;8;5,56;5,56;0;0;0;0;0;0;0;0;0;0
4521;D;Muldur;Sassuolo;25;5,66;5,56;0;0;0;0;0;0;0;5;0;0
4719;D;Ampadu;Venezia;29;5,91;5,78;0;0;0;0;0;0;3;10;2;0
4895;D;Yoshida;Sampdoria;24;5,73;5,98;2;0;0;0;0;0;3;2;0;1
4979;D;Ayhan;Sassuolo;18;5,81;5,86;1;0;0;0;0;0;0;2;1;0
5375;D;Maehle;Atalanta;23;5,83;5,96;1;0;0;0;0;0;1;2;0;0
5475;D;Amian;Spezia;32;5,72;5,67;1;0;0;0;0;0;1;7;2;0
5693;D;Kiwior;Spezia;22;5,7;5,57;0;0;0;0;0;0;0;6;0;0
5750;D;Ostigard;Genoa;15;5,7;5,5;0;0;0;0;0;0;0;2;2;0
294;D;Rugani;Juventus;12;5,96;5,88;0;0;0;0;0;0;0;2;0;0
393;D;Luperto;Empoli;22;5,82;5,68;0;0;0;0;0;0;1;6;1;0
460;D;Romagnoli;Milan;17;5,94;5,94;1;0;0;0;0;0;0;4;1;0
633;D;Fares;Torino;9;5,83;6,5;2;0;0;0;0;0;1;2;0;0
640;D;Chiriches;Sassuolo;27;5,67;5,59;0;0;0;0;0;0;0;4;0;0
660;D;Gyomber;Salernitana;30;5,73;5,58;0;0;0;0;0;0;0;9;0;0
662;D;Alex Sandro;Juventus;27;5,69;5,59;0;0;0;0;0;0;1;3;0;1
770;D;Pezzella Giu.;Atalanta;16;5,94;5,97;0;0;0;0;0;0;2;3;0;0
2083;D;Biraschi;Genoa;14;5,61;5,46;0;0;0;0;0;0;0;4;0;0
2104;D;Bereszynski;Sampdoria;35;5,74;5,66;0;0;0;0;0;0;3;12;0;0
2174;D;Venuti;Fiorentina;21;5,76;5,57;0;0;0;0;0;0;0;4;0;1
2289;D;Dalbert;Cagliari;28;5,59;5,5;0;0;0;0;0;0;2;9;0;0
2318;D;Rogerio;Sassuolo;22;5,8;5,75;0;0;0;0;0;0;1;5;0;0
2335;D;Luiz Felipe;Lazio;29;5,83;5,62;0;0;0;0;0;0;0;10;1;0
2724;D;Buongiorno;Torino;18;5,94;5,89;0;0;0;0;0;0;1;5;0;0
2758;D;Gunter;Verona;30;5,8;5,57;0;0;0;0;0;0;0;10;0;1
2869;D;Djidji;Torino;24;5,83;5,71;0;0;0;0;0;0;0;4;1;0
4329;D;Nikolaou;Spezia;36;5,67;5,51;0;0;0;0;0;0;0;7;0;1
4378;D;Ranieri L.;Salernitana;27;5,65;5,59;1;0;0;0;0;0;0;9;0;0
4426;D;Toljan;Sassuolo;19;5,79;5,79;0;0;0;0;0;0;1;2;0;0
4775;D;Tuanzebe;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
4888;D;Sutalo;Verona;18;5,83;5,83;0;0;0;0;0;0;0;0;0;0
4891;D;Soumaoro;Bologna;27;5,91;5,65;0;0;0;0;0;0;0;6;2;1
4925;D;Carboni;Cagliari;28;5,7;5,52;0;0;0;0;0;0;0;6;0;1
5354;D;Ruggeri;Salernitana;13;5,77;5,73;0;0;0;0;0;0;0;1;0;0
5509;D;Vina;Roma;23;5,74;5,74;0;0;0;0;0;0;1;2;0;0
5677;D;Perez N.;Udinese;20;5,8;5,7;0;0;0;0;0;0;1;6;0;0
5691;D;Zima;Torino;18;6;5,92;0;0;0;0;0;0;0;3;0;0
5718;D;Viti;Empoli;19;5,89;5,71;0;0;0;0;0;0;0;1;1;1
140;D;Hysaj;Lazio;27;5,61;5,67;1;0;0;0;0;0;0;3;0;0
226;D;Izzo;Torino;9;6;5,78;0;0;0;0;0;0;0;4;0;0
259;D;Murillo;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
550;D;Maksimovic;Genoa;14;5,79;5,71;0;0;0;0;0;0;0;2;0;0
630;D;Sala;Spezia;16;5,84;5,94;1;0;0;0;0;0;0;3;0;0
1868;D;Murru;Sampdoria;19;5,5;5,55;1;0;0;0;0;0;0;5;0;0
2192;D;Bonifazi;Bologna;17;5,65;5,41;0;0;0;0;0;0;0;2;1;1
2312;D;Hristov;Spezia;16;5,53;5,69;1;0;0;0;0;0;1;3;0;0
2572;D;Godin;Cagliari;11;5,5;5,45;0;0;0;0;0;0;1;3;0;0
4461;D;Zappa;Cagliari;20;5,6;5,5;0;0;0;0;0;0;0;2;1;0
4495;D;Kumbulla;Roma;13;5,88;5,69;0;0;0;0;0;0;0;6;0;0
5323;D;Martinez Quarta;Fiorentina;18;5,81;5,75;1;0;0;0;0;0;0;8;0;0
5365;D;Dragusin;Salernitana;17;5,68;5,62;0;0;0;0;0;0;0;2;0;0
5480;D;Ebuehi;Venezia;18;5,75;5,67;0;0;0;0;0;0;0;1;1;0
5484;D;Svoboda;Venezia;18;5,53;5,42;0;0;0;0;0;0;0;2;1;0
5527;D;Zanoli;Napoli;7;5,79;5,64;0;0;0;0;0;0;0;2;0;0
5804;D;Cacace;Empoli;8;5,81;5,75;0;0;0;0;0;0;0;1;0;0
15;D;Masiello;Genoa;7;5,71;5,5;0;0;0;0;0;0;0;3;0;0
73;D;Gagliolo;Salernitana;14;5,43;5,43;0;0;0;0;0;0;1;2;0;0
144;D;Tonelli;Empoli;13;5,54;5,23;0;0;0;0;0;0;0;4;0;1
261;D;Ranocchia;Inter;6;6;5,92;0;0;0;0;0;0;0;1;0;0
329;D;Radu;Lazio;9;5,72;5,61;0;0;0;0;0;0;0;2;0;0
390;D;Ghoulam;Napoli;5;6;5,9;0;0;0;0;0;0;0;1;0;0
418;D;Goldaniga;Cagliari;11;5,68;5,55;0;0;0;0;0;0;0;3;0;0
459;D;Manolas;Napoli;4;5,62;5,5;0;0;0;0;0;0;0;1;0;0
758;D;Mantovani;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
791;D;Sabelli;Genoa;7;5,57;5,36;0;0;0;0;0;0;0;3;0;0
805;D;Fiamozzi;Empoli;8;5,44;5,5;0;0;0;0;0;0;1;1;0;0
2116;D;Farago';Cagliari;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2206;D;Felicioli;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
2328;D;Vanheusden;Genoa;14;5,64;5,39;0;0;0;0;0;0;0;3;0;1
2453;D;Nastasic;Fiorentina;4;5,38;5,25;0;0;0;0;0;0;0;1;0;0
2668;D;Retsos;Verona;1;6;6;0;0;0;0;0;0;0;0;0;0
2769;D;Magnani;Sampdoria;14;5,79;5,61;0;0;0;0;0;0;0;3;1;0
4323;D;Zeegelaar;Udinese;12;5,58;5,5;0;0;0;0;0;0;0;2;0;0
4373;D;Mateju;Venezia;9;5,5;5,44;0;0;0;0;0;0;1;3;0;0
4374;D;Walukiewicz;Cagliari;6;5,67;5,58;0;0;0;0;0;0;0;1;0;0
4375;D;Terzic;Fiorentina;7;6;6,07;0;0;0;0;0;0;1;1;0;0
4403;D;Chabot;Sampdoria;9;5,56;5,28;0;0;0;0;0;0;0;5;0;0
4414;D;Denswil;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
4494;D;Empereur;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
4881;D;Czyborra;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
4945;D;Calafiori;Genoa;4;5,62;5,62;0;0;0;0;0;0;1;3;0;0
4946;D;Frabotta;Verona;1;6;6;0;0;0;0;0;0;0;0;0;0
4985;D;Vignali;Spezia;1;4,5;4,5;0;0;0;0;0;0;0;0;0;0
5010;D;Ismajli;Empoli;16;5,41;4,94;0;0;0;0;0;0;0;7;0;2
5445;D;Binks;Bologna;11;5,82;5,68;0;0;0;0;0;0;0;3;0;0
5456;D;Ferrarini;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
5461;D;Kamenovic;Lazio;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
5463;D;Aya;Salernitana;2;4,75;4,5;0;0;0;0;0;0;0;1;0;0
5464;D;Bogdan;Salernitana;6;5,33;5,33;0;0;0;0;0;0;0;0;0;0
5466;D;Strandberg;Salernitana;11;5,59;5,32;0;0;0;0;0;0;0;0;1;1
5482;D;Modolo;Venezia;5;6,2;6;0;0;0;0;0;0;0;2;0;0
5503;D;Kechrida;Salernitana;14;5,5;5,57;0;0;0;0;0;0;1;0;0;0
5524;D;Serpe;Genoa;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
5678;D;Holm;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0
5747;D;Ruan;Sassuolo;5;5,5;5,4;0;0;0;0;0;0;0;1;0;0
5764;D;Coppola D.;Verona;3;5,83;5,83;0;0;0;0;0;0;0;0;0;0
5793;D;Kasius;Bologna;5;5,9;5,9;0;0;0;0;0;0;0;0;0;0
50;D;Mbaye;Bologna;2;5,5;5,5;0;0;0;0;0;0;0;0;0;0
224;D;De Maio;Udinese;2;4,25;4,25;0;0;0;0;0;0;0;0;0;0
244;D;Ghiglione;Genoa;11;5,68;5,64;0;0;0;0;0;0;1;3;0;0
454;D;Capradossi;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0
521;D;Peluso;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
551;D;Molinaro;Venezia;7;5,64;5,79;0;0;0;0;0;0;1;0;0;0
2064;D;Veseli;Salernitana;8;5,31;5,12;0;0;0;0;0;0;0;1;1;0
2115;D;Delli Carri;Salernitana;5;5,5;5,4;0;0;0;0;0;0;0;1;0;0
2208;D;Jaroszynski;Salernitana;9;5,33;5,22;0;0;0;0;0;0;0;2;0;0
2214;D;Kolarov;Inter;1;6;6;0;0;0;0;0;0;0;0;0;0
2252;D;Marchizza;Empoli;19;5,71;5,55;0;0;0;0;0;0;1;4;0;1
2279;D;Romagna;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
2315;D;Stryger Larsen;Udinese;10;5,7;5,6;0;0;0;0;0;0;1;0;0;1
2745;D;Calabresi;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
2793;D;Opoku;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
2838;D;Imperiale;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
2860;D;Malcuit;Napoli;4;5,62;5,5;0;0;0;0;0;0;1;3;0;0
4366;D;Armini;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
4397;D;Vavro;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
4401;D;Gabbia;Milan;7;5,64;5,43;0;0;0;0;0;0;0;3;0;0
4406;D;Tripaldelli;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
4493;D;Dawidowicz;Verona;15;5,87;5,77;0;0;0;0;0;0;0;3;0;0
4519;D;Cetin;Verona;1;6;6;0;0;0;0;0;0;0;0;0;0
4758;D;Benkovic;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
4932;D;Ballarini;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
4950;D;Dalle Mura;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
4984;D;Ramos;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0
4997;D;Ruegg;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
5017;D;Ballo-Toure';Milan;7;5,64;5,5;0;0;0;0;0;0;0;2;0;0
5316;D;Amione;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
5398;D;Reynolds;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5465;D;Sy;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
5473;D;Kaique Rocha;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
